2020-07-07 10:50:52.836 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 32248 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:50:52.838 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:50:54.642 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:50:54.653 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:50:54.654 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:50:54.654 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:50:54.756 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:50:54.756 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1876 ms
2020-07-07 10:50:54.996 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:50:55.503 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:50:55.575 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [10] milliseconds.
2020-07-07 10:50:55.641 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:50
2020-07-07 10:50:55.645 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:50:56.624 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:50:56.634 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:50:56.635 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:50:57.091 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:50:57.127 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:50:57.154 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:50:57.173 [main] INFO  org.coral.server.App - Started App in 4.745 seconds (JVM running for 5.13)
2020-07-07 10:51:18.680 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 32408 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:51:18.685 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:51:21.472 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:51:21.485 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:51:21.486 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:51:21.486 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:51:21.598 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:51:21.598 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2845 ms
2020-07-07 10:51:21.962 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:51:22.477 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:51:22.586 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [17] milliseconds.
2020-07-07 10:51:22.671 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:68
2020-07-07 10:51:22.678 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:51:23.787 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:51:23.793 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:51:23.794 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:51:24.265 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:51:24.298 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:51:24.381 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:51:24.403 [main] INFO  org.coral.server.App - Started App in 6.401 seconds (JVM running for 7.316)
2020-07-07 10:51:45.070 [nioEventLoopGroup-3-1] INFO  org.coral.net.core.base.ServerHandler - 客户端连接游戏服:/127.0.0.1:63823
2020-07-07 10:51:58.828 [nioEventLoopGroup-3-1] ERROR org.coral.net.core.base.ServerHandler - 服务器不在运行状态, 舍弃消息
2020-07-07 10:53:06.823 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 7520 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:53:06.828 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:53:09.449 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:53:09.461 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:53:09.462 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:53:09.462 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:53:09.569 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:53:09.569 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2678 ms
2020-07-07 10:53:09.897 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:53:10.429 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:53:10.545 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [24] milliseconds.
2020-07-07 10:53:10.640 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:67
2020-07-07 10:53:10.643 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:53:11.877 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:53:11.882 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:53:11.883 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:53:12.395 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:53:12.431 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:53:12.460 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:53:12.479 [main] INFO  org.coral.server.App - Started App in 6.326 seconds (JVM running for 7.127)
2020-07-07 10:53:18.889 [nioEventLoopGroup-3-1] INFO  org.coral.net.core.base.ServerHandler - 客户端连接游戏服:/127.0.0.1:63982
